,name_server,key,Price,name_environment,CPU,RAM,value_avg_mean_cpu,value_avg_min_cpu,value_avg_max_cpu,daily_avg_max_diff_cpu,value_avg_std_cpu,days_max100,days_avg_sup_95_cpu,days_avg_lower5_cpu,value_avg_mean_mem,value_avg_min_mem,value_avg_max_mem,daily_avg_max_diff_mem,value_avg_std_mem,days_max97,days_avg_sup_95_mem,days_avg_lower5_mem
2134,SLTCFRPFO731,2#4,470.85,Test,2,4,32.35959234238063,2.294979951388893,92.19098790289854,89.89600795150965,38.18690653681249,35.0,0.0,235.0,89.76585852847025,76.6815430232067,94.47047674577183,17.788933722565133,2.6280920014857028,121.0,0.0,0.0
2135,SLUCFRQ43994,4#64,4051.5,UAT,4,64,10.188390011356304,0.2146260333333353,79.16620927083333,78.9515832375,10.636043489872284,6.0,0.0,198.0,64.69611884649407,3.2390631210631966,96.54416778560022,93.30510466453703,20.540030530332796,78.0,4.0,14.0
2136,SWTCFRP58149,4#16,1383.35,Test,4,16,5.435310750031582,2.565261797862933,20.48492319014984,17.919661392286905,5.235040114919135,14.0,0.0,309.0,18.52326818123695,14.634154435408991,28.199691804704003,13.565537369295011,1.915481292390704,0.0,0.0,0.0
2137,SWDCFRQ35902,4#8,916.15,Dev,4,8,13.172399804338509,1.053303545652174,25.24364483554409,24.190341289891915,7.600777312219707,2.0,0.0,120.0,36.72897628023833,24.95653600243644,64.88632198152072,39.929785979084286,5.175760471362171,42.0,0.0,0.0
2138,SWPCFRCT1989,2#8,689.85,Prod,2,8,11.576752388711688,3.099440565315648,26.496675546843527,23.39723498152788,5.706022960787782,57.0,0.0,197.0,49.132012357743534,31.70607165488293,62.03531934711474,30.329247692231814,7.081305674283594,1.0,0.0,0.0
2139,SWDCFRDM6204,2#8,689.85,Dev,2,8,7.493463380121813,3.975246399901744,31.46234143006835,27.487095030166607,2.801895231497693,20.0,0.0,335.0,37.91032299731329,26.155254235659804,60.16363936111112,34.00838512545132,5.532222158074565,0.0,0.0,0.0
2140,SWDCFRU36396,2#4,470.85,Dev,2,4,6.067734298769953,4.132439205555555,22.868746960393125,18.73630775483757,1.7833595359231924,13.0,0.0,351.0,60.637834466752224,46.752415973105,69.03702501025188,22.28460903714688,4.700831856610087,0.0,0.0,0.0
2141,SWBCFRFEN437,2#4,470.85,Bench,2,4,13.70850159141305,8.325484116273643,80.820247757622,72.49476364134836,8.078582072146924,9.0,0.0,111.0,82.19279815197451,65.88020381217858,86.17986994753893,20.299666135360354,2.993921013343969,1.0,0.0,0.0
2142,SWPCFRIKS254,2#8,689.85,Prod,2,8,8.255150815949007,5.286289022254974,39.45269506747881,34.16640604522383,3.257125761704394,133.0,0.0,289.0,48.20501282421096,38.15889082480834,56.32067231206451,18.16178148725617,4.105140986165592,0.0,0.0,0.0
2143,SWBCFRPPI196,2#4,470.85,Bench,2,4,8.01329001149395,6.43583285947602,19.96979211810232,13.5339592586263,2.078893652566012,15.0,0.0,330.0,70.58508879994719,55.121067670680326,83.75120946074368,28.630141790063355,6.258057919949344,0.0,0.0,0.0
